iter	RMSE
0	0.1535189045
1	0.1530404849
2	0.1525755871
3	0.1521582369
4	0.1516976405
5	0.1512878762
6	0.1508621423
7	0.1504272587
8	0.1500015639
9	0.1495682957
10	0.1492297764
11	0.1488790331
12	0.1484769711
13	0.1480823819
14	0.1477421646
15	0.1473519058
16	0.1470081348
17	0.1466409697
18	0.1463595677
19	0.14609294
20	0.1457608348
21	0.1454695845
22	0.1451763338
23	0.1448457525
24	0.1445533919
25	0.1443083127
26	0.1440105102
27	0.1437278441
28	0.1434723403
29	0.1432112776
30	0.1429494377
31	0.142711702
32	0.1424804427
33	0.1422744738
34	0.1420289438
35	0.1417755384
36	0.1415385129
37	0.1413099144
38	0.1410755652
39	0.1408428027
40	0.1406360754
41	0.1404229938
42	0.1402226347
43	0.1399780389
44	0.1397901147
45	0.1395884577
46	0.1394042048
47	0.1392029806
48	0.1389880935
49	0.1387908477
50	0.1385950422
51	0.1384206755
52	0.1382404772
53	0.1380422603
54	0.1378332591
55	0.1376488555
56	0.1374419728
57	0.1372772834
58	0.1371558636
59	0.1370039443
60	0.1368254463
61	0.1366723995
62	0.1365171982
63	0.1363561308
64	0.1361983378
65	0.1360384968
66	0.1358909814
67	0.1357295088
68	0.1355843278
69	0.1354796489
70	0.1353479853
71	0.1352119984
72	0.1350584542
73	0.1349287158
74	0.1347707882
75	0.1346397899
76	0.1345122183
77	0.1343376841
78	0.1342483796
79	0.1341046463
80	0.1340069787
81	0.1338586952
82	0.133724818
83	0.1335894479
84	0.1334854421
85	0.1333824716
86	0.1332729264
87	0.1331752696
88	0.1330574847
89	0.1329374324
90	0.1328174609
91	0.1327070235
92	0.1325631683
93	0.1323973037
94	0.132298333
95	0.1321745659
96	0.1320674438
97	0.1319641049
98	0.1318343837
99	0.1317264309
100	0.1316307146
101	0.1315424032
102	0.1314306792
103	0.1313259602
104	0.1312079671
105	0.1310899559
106	0.1309802065
107	0.1308523838
108	0.1307362228
109	0.1306355868
110	0.1305261827
111	0.1304051506
112	0.1302887494
113	0.1301946959
114	0.1301348033
115	0.1300531881
116	0.1299729699
117	0.1298713304
118	0.1297646641
119	0.1296736472
120	0.1296122627
121	0.1295209206
122	0.1294513064
123	0.1293759078
124	0.129304327
125	0.1291936484
126	0.1291035501
127	0.1290115118
128	0.1289303259
129	0.1288527342
130	0.128742077
131	0.1286571834
132	0.1285883825
133	0.1284939291
134	0.1284530932
135	0.1283791315
136	0.1282640884
137	0.1281811609
138	0.1281456997
139	0.1280620305
140	0.1279760798
141	0.1278767187
142	0.1277918151
143	0.1277090404
144	0.1276528519
145	0.1275576526
146	0.1274861162
147	0.1274165964
148	0.1273432773
149	0.1272468514
150	0.1271859969
151	0.127098954
152	0.1270377053
153	0.1269492794
154	0.126900654
155	0.1268277629
156	0.1267480721
157	0.126676275
158	0.1266023144
159	0.1265128945
160	0.1264196961
161	0.1263193279
162	0.1262227013
163	0.1261335985
164	0.1260658547
165	0.1259759562
166	0.1259430171
167	0.1258605899
168	0.1257943415
169	0.1257033676
170	0.125624155
171	0.1255572033
172	0.1254829042
173	0.1254297613
174	0.1253436736
175	0.1253137798
176	0.1252548224
177	0.1251761122
178	0.1251048582
179	0.1250420605
180	0.1249501139
181	0.1248900392
182	0.1247952246
183	0.1247211601
184	0.1246352802
185	0.1245614154
186	0.1244625207
187	0.1243834735
188	0.1243431219
189	0.1243138403
190	0.1242545202
191	0.1241992794
192	0.1241292076
193	0.1240540964
194	0.1240020016
195	0.1239297573
196	0.1238699944
197	0.1238022561
198	0.1237145238
199	0.1236535895
200	0.1236129989
201	0.1235627355
202	0.1234815955
203	0.1233972955
204	0.1233529258
205	0.1232968657
206	0.1232473602
207	0.1231801569
208	0.1230889941
209	0.12306318
210	0.1230265151
211	0.1229889358
212	0.122957012
213	0.1228788729
214	0.1228190515
215	0.1227710452
216	0.1227124558
217	0.1226640914
218	0.1225932069
219	0.1225343607
220	0.1224609539
221	0.1223845281
222	0.1223257103
223	0.1222492348
224	0.1222180814
225	0.1221513084
226	0.1220938564
227	0.1220437255
228	0.1219730621
229	0.1219354116
230	0.1218832145
231	0.1218484877
232	0.1217842506
233	0.1217067845
234	0.1216446273
235	0.1215962714
236	0.1215477642
237	0.1214914472
238	0.1214603156
239	0.1213942161
