iter	Passed	Remaining
0	22	18164
1	29	11889
2	35	9420
3	41	8200
4	46	7460
5	52	6914
6	57	6546
7	63	6239
8	68	5996
9	74	5870
10	80	5763
11	85	5642
12	91	5541
13	96	5445
14	102	5354
15	107	5285
16	113	5222
17	119	5191
18	124	5128
19	130	5075
20	135	5028
21	141	4994
22	147	4971
23	152	4928
24	157	4889
25	163	4859
26	168	4832
27	174	4802
28	180	4801
29	188	4827
30	193	4812
31	200	4820
32	207	4824
33	215	4863
34	221	4848
35	233	4953
36	240	4953
37	247	4964
38	261	5110
39	275	5238
40	292	5409
41	299	5404
42	305	5380
43	312	5373
44	318	5346
45	324	5324
46	331	5308
47	337	5283
48	343	5264
49	351	5271
50	356	5242
51	363	5229
52	369	5204
53	375	5183
54	380	5155
55	386	5132
56	392	5118
57	398	5094
58	404	5083
59	410	5068
60	416	5043
61	422	5032
62	428	5016
63	435	5007
64	446	5053
65	456	5082
66	464	5085
67	473	5097
68	481	5104
69	488	5089
70	495	5085
71	501	5068
72	507	5057
73	513	5041
74	520	5026
75	525	5010
76	531	4991
77	537	4973
78	543	4956
79	549	4944
80	555	4934
81	562	4922
82	568	4908
83	575	4903
84	580	4885
85	586	4868
86	592	4855
87	598	4844
88	604	4831
89	610	4817
90	616	4803
91	622	4792
92	628	4778
93	634	4765
94	643	4778
95	650	4771
96	658	4771
97	665	4767
98	672	4762
99	678	4746
100	685	4743
101	691	4732
102	697	4722
103	703	4710
104	709	4696
105	715	4685
106	721	4674
107	728	4667
108	735	4661
109	740	4646
110	746	4635
111	753	4628
112	759	4615
113	764	4602
114	770	4588
115	777	4582
116	782	4568
117	788	4556
118	793	4541
119	800	4536
120	805	4522
121	811	4508
122	816	4494
123	822	4483
124	827	4470
125	833	4460
126	841	4457
127	846	4446
128	853	4439
129	859	4427
130	864	4416
131	870	4404
132	875	4392
133	881	4379
134	886	4366
135	892	4357
136	898	4346
137	903	4334
138	908	4322
139	914	4311
140	919	4299
141	925	4286
142	930	4277
143	936	4264
144	941	4253
145	947	4243
146	952	4232
147	958	4222
148	964	4212
149	969	4200
150	974	4190
151	980	4178
152	985	4167
153	990	4156
154	996	4147
155	1002	4138
156	1007	4127
157	1013	4117
158	1018	4106
159	1025	4100
